full_name_raw,full_name_fr,full_name_ar,full_name_en,full_name_es
Danish Refugee Council,Conseil de réfugié danois,مجلس اللاجئين الدانمركي,Danish refugee council,Consejo Danés de Refugiados
Sabea Sanabul Organization for Relief and Development,Organisation Sabea Sanabul pour le soulagement et le développement,شركة Sabea Sanabul للإغاثة والتنمية,SABEA SANABUL ORGANIZATION FOR RELIEF AND DEVELOPMENT,Organización Sabea Sanabul para alivio y desarrollo.
Mercy Corps,Mercy Corps,زلق لحاء الدردار,Mercy body,Cuerpo de misericordia
DARY Organization,Organisation duarie,تنظيم دااري,Dary Organization,Organización Dary
International Rescue Committee,Comité international de secours,لجنة الإنقاذ الدولية,International Rescue Committee,Comité Internacional de Rescate
The United Iraqi Medical Society,La Société médicale irakienne unie,الجمعية الطبية العراقية المتحدة,THE UNITED IRAQI MEDICAL SOCIETY,La sociedad médica iraquí unida
International Organization of Migration,Organisation internationale de la migration,التنظيم الدولي للهجرة,International Organization of Migration,Organización internacional de migración.
Première Urgence Internationale,Première Urgence Internationale,Première urgence internationale.,First international emergency,Primera emergencia internacional
World Food Programme,Programme alimentaire mondial,برنامج الأغذية العالمي,World Food Program,Programa Mundial de Alimentos
International Medical Corps,Corps médical international,فيلق الطبي الدولي,International Medical Body,Cuerpo médico internacional
Terre Des Hommes - Lausanne,Terre des Hommes - Lausanne,Terre des Hommes - Lausanne,Terre des Men - Lausanne,Terre des Men - Lausanne
Justice Gate Organization,Organisation de la porte de la justice,منظمة البوابة العدالة,Justice Gate Organization,Organización de la Puerta de Justicia
HALO Trust,Halo Trust,هالة الثقة,Halo Trust,Halo confianza
War Child - UK,Guerre enfant - Royaume-Uni,حرب الطفل - المملكة المتحدة,War Child - UK,Niño de la guerra - Reino Unido
Public Aid Organization,Organisation d'aide publique,منظمة المساعدات العامة,Public Aid Organization,Organización de ayuda pública
Norwegian People's Aid,Aide du peuple norvégien,مساعدات الشعب النرويجي,Norwegian People's Aid,Ayuda de los pueblos noruegos
Terre Des Hommes - Italia,Terre des Hommes - Italia,Terre des Hommes - Italia,Terre des Men - Italia,Terre des Men - Italia
Iraq Health Access Organization,Oraq Health Access Organization,منظمة الوصول الصحية في العراق,Iraq Health Access Organization,Organización de acceso a la salud de Irak
Baghdad Women Association,Association des femmes Bagdad,جمعية نساء بغداد,Baghdad Women Association,Asociación de Mujeres de Bagdad
Tajdid Organization,Organisation Tajdid,تنظيم طاجيد,Tajdid Organization,Organización Tajdid
Bent Al-Rafedain Organization,Organisation Bent Al-Rafedain,منظمة عازمة الرافدين,Bent al-Salesland Organization,Organización Bent al-Salesland
United Nations Children's Funds,Fonds des Nations Unies pour enfants,أموال أطفال الأمم المتحدة,United Nations Children's Funds,Fondos de los niños de las Naciones Unidas
Norweigan Refugee Council,Conseil de réfugié Norweigan,مجلس اللاجئين نورويغان,Norweigan Refugee Council,Consejo de Refugiados de Norweigan
Cordaid Organization,Organisation Cordaid,منظمة كورداد,Cordaid Organization,Organización Cordaid
Hebaa Organization,Organisation Hebaa,منظمة هيباء,Hebaa Organization,Organización de Hebaa
Legal Clinic Network,Réseau de la clinique juridique,شبكة العيادة القانونية,Legal Clinic Network,Red de Clínicas Legales
Social Transformation and Educational Prosperity,Transformation sociale et prospérité éducative,التحول الاجتماعي والازدهار التعليمي,Social Transformation and Educational Prosperity,Transformación social y prosperidad educativa.
Department of Violence Against Women Govnmt,Département de la violence contre les femmes govnmt,قسم العنف ضد المرأة Govnmt,Department of Violence Against Women Govnmt,Departamento de Violencia contra Mujeres Govnmt
Heartland Alliance International,Heartland Alliance International,قلب التحالف الدولي,Heartland Alliance International,Heartland Alliance International
Jiyan Foundation,Jiyan Foundation,مؤسسة جيان,Jiyan Foundation,Fundación Jiyan
Directorate of Health - Sulaymaniyah,Direction de la santé - Sulaymaniyah,مديرية الصحة - السليمانية,Directorate of Health - Sulaymaniyah,Dirección de Salud - Sulaymaniyah
Zhian Health Organization,Organisation de la santé zhienne,منظمة الصحة تشيان,Zhian Health Organization,Organización de Salud Zhian
Heevie Kurdistan Development Organization,Heevie Kurdistan Organisation de développement,هيسي كردستان للتنمية,Heevie Kurdistan Development Organization,Organización de Desarrollo de Heevie Kurdistan
Directorate of Migration and Crisis Response - Sulaimaniyah,Direction de la migration et de la réponse à la crise - Sulaimaniyah,مديرية الهجرة والاستجابة للأزمات - السليمانية,Directorate of Migration and Crisis Response - Sulaimaniyah,Dirección de Migración y Respuesta de Crisis - Sulaimaniyah
Emergency Organization,Organisation d'urgence,منظمة الطوارئ,EMERGENCY ORGANIZATION,Organización de emergencia
Al-Masala Organization,Organisation Al-Masala,منظمة المسالا,AL-MASALA ORGANIZATION,Organización Al-Masala
Directorate of Labour & Social Affairs - Garmyan,Direction du travail et des affaires sociales - Garmyan,مديرية العمل والشؤون الاجتماعية - Garmyan,Directorate of Labor & Social Affairs - Garmyan,Dirección de Trabajo y Asuntos Sociales - Garmyan
Arche Nova Organization,Arche Nova Organisation,Arche Nova Organization,Arche Nova Organization,Organización Arche Nova
The Swedish Development Aid organization,L'organisation suédoise d'aide au développement,منظمة مساعدات التنمية السويدية,The Swedish Development Aid Organization,La Organización de Ayudas de Desarrollo Suecia
Harikar Organization,Organisation Harikar,منظمة هاريكار,Harikar Organization,Organización de Harikar
Voice of Older People,Voix des personnes âgées,صوت كبار السن,Voice of Older People,Voz de personas mayores
Doctors Aid Medical Activities,Les médecins aident les activités médicales,الأطباء الأنشطة الطبية,Doctors Aid Medical Activities,Los médicos ayudan a las actividades médicas.
Emma Organization,Organisation EMMA,منظمة إيما,Emma Organization,Organización EMMA
Ministry of Labor and Social Affairs,Ministère du travail et des affaires sociales,وزارة العمل والشؤون الاجتماعية,Ministry of Labor and Social Affairs,Ministerio de Trabajo y Asuntos Sociales.
Global Yazidi Organization,Organisation mondiale de Yazidi,منظمة اليزيدى العالمية,Global Yazidi Organization,Organización Global Yazidi
Seed Foundation,Fondation de semences,مؤسسة البذور,SEED FOUNDATION,Fundación de semillas
Kurdistan Reconstruction and Development Society,Kurdistan Reconstruction et Development Society,مجتمع إعادة الإعمار والتنمية الكردستاني,Kurdistan Reconstruction and Development Society,Sociedad de Reconstrucción y Desarrollo de Kurdistán.
Directorate of Labour & Social Affairs - Duhok,Direction de la main-d'œuvre et des affaires sociales - Duhok,مديرية العمل والشؤون الاجتماعية - دهوك,Directorate of Labor & Social Affairs - Duhok,Dirección de Trabajo y Asuntos Sociales - Duhok
Dorcas Aid International,Dorcas Aid International,دوركاس المعونة الدولية,DORCAS AID INTERNATIONAL,Dorcas Aid International
Catholic Relief Service,Service de secours catholique,خدمة الإغاثة الكاثوليكية,Catholic relief service,Servicio de alivio católico
Jesuit Refugee Service,Service de réfugié jésuite,خدمة اللاجئين اليسوعية,Jesuit Refugee Service,Servicio Jesuita de Refugiados
Peace Winds Japan,Peace Winds Japon,رياح السلام اليابان,PEACE WINDS JAPAN,Viernos de paz Japón
Shingal Organization for Social Development,Organisation blingale pour le développement social,منظمة الشقال للتنمية الاجتماعية,SHINGAL ORGANIZATION FOR SOCIAL DEVELOPMENT,Organización de Shingal para el desarrollo social.
Women Rehabilitation Organization,Organisation de réadaptation des femmes,منظمة إعادة تأهيل النساء,WOMEN REHABILITATION ORGANIZATION,Organización de la rehabilitación de las mujeres
Save the Children International,Sauvez les enfants internationaux,انقاذ الأطفال الدولية,Save the Children International,Salvar a los niños internacionales
Barzani Charity Foundation,Barzani Foundation Charity,مؤسسة بارزاني الخيرية,Barzani Charity Foundation,Fundación Barzani Charity
Directorate of Health - Erbil,Direction de la santé - Erbil,مديرية الصحة - أربيل,Directorate of Health - Erbil,Dirección de Salud - Erbil
United Nations High Commisioner for Refugees,GRAND COMMISSION DES NATIONS UNIES POUR LES REFUGES,الأمم المتحدة العليا للاجئين,United Nations High commissioner for Refugees,Alto Comisionado de las Naciones Unidas para los Refugiados
Handicap International,Handicap International,عائق الدولية,Disability,Invalidez
Kurdistan Relief Association,Association de secours de Kurdistan,جمعية إغاثة كردستان,KURDISTAN RELIEF Association,Asociación de Alivio de Kurdistán
Pekawa Organization,Organisation de Pekawa,منظمة بيكنا,PEKAWA ORGANIZATION,Organización Pekawa
Pena Center for combating Violence against Women,Pena Center pour lutter contre la violence à l'égard des femmes,مركز بينا لمكافحة العنف ضد المرأة,PENA CENTER for Combating Violence Against Women,Peña Centro para combatir la violencia contra las mujeres.
Polish Humanitarian Organization,Organisation humanitaire polonaise,منظمة إنسانية بولندية,Polish Humanitarian Organization,Organización humanitaria polaca
Intersos Organization,Organisation interne,منظمة Intersos,INTERSOS ORGANIZATION,Organización de Intersos
Al-Ghad for Women & Child Care,Al-Ghad pour les femmes et les garderies,الغد للرعاية النسائية والأطفال,AL-GHAD FOR WOMEN & CHILD CARE,Al-Ghad para mujeres y cuidado infantil
Women's Empowerment Organisation,Organisation d'autonomisation des femmes,منظمة تمكين المرأة,Women's Empowerment Organization,Organización de empoderamiento de las mujeres
French Red Cross,Croix-Rouge française,الفرنسية الصليب الأحمر,FRENCH RED CROSS,Cruz Roja Francesa
Welt Hunger Hilfe,Welt Hunger Hilfe,فيلت جوع هيلف,Welt Hunger Hilfe,Welt Hunger Hilfe
Shareteah Organization,Organisation Shareteah,منظمة شاريتية,Sharetah Organization,Organización de ShareTah
People In Need,Personnes dans le besoin,الناس في حاجة,People in Need,Las personas necesitadas
Un Ponte Per,Un ponte par,بونتي الأمم المتحدة PER.,A laying per,Una colocación por
Mission East Organization,Mission Organisation East,منظمة مهمة الشرق,East Organization Mission,Misión de Organización Oriental
IRAQ Health Social Care Organization,Oraq Health Soins sociaux Organisation,منظمة الرعاية الاجتماعية للصحة العراقية,Iraq Health Social Care Organization,Organización de Atención Social de Salud de Irak
Viyan Organization for Medical Relief and Development,Organisation Viyan pour le soulagement et le développement médicaux,منظمة Viyan للإغاثة الطبية والتنمية,VIIAN ORGANIZATION FOR MEDICAL RELIEF AND DEVELOPMENT,Organización VIII para alivio y desarrollo médico.
Oxfam Internation Organization,Organisation internationale d'Oxfam,منظمة دوران أوكسفام,Oxfam International Organization,Organización Internacional de Oxfam
United Nations Mine Action Service,Service d'action minière des Nations Unies,خدمة مكافحة الألغام التابعة للأمم المتحدة,United Nations Mine Action Service,Servicio de acción de las minas de las Naciones Unidas
Solidarités Internatinal,Solidarités internationales,solidarités Internatinal.,Internatial solidarity,Solidaridad Internacional
Norwegian Church Aid,Aide norvégienne de l'église,المساعدات الكنيسة النرويجية,Norwegian Church Aid,Ayuda de la iglesia noruega
Cooperative for Assistance and Relief Everywhere,Coopérative pour l'assistance et le soulagement partout,التعاونية للحصول على المساعدة والإغاثة في كل مكان,COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE,Cooperativa para asistencia y alivio en todas partes.
World Vision International,World Vision International,الرؤية العالمية الدولية,WORLD VISION INTERNATIONAL,World Vision International
Access Aid Foundation,Fondation d'aide à accès,وصول مؤسسة المعونة,Access Aid Foundation,Fundación Ayuda de Acceso
United Nations Population Fund,Fonds de la population des Nations Unies,صندوق الأمم المتحدة للسكان,United Nations Population Fund,Fondo de Población de las Naciones Unidas
Qatar Red Crescent,Croissant-Rouge Qatar,الهلال الأحمر القطر,Qatar Red Crescent,Qatar Red Crescent
United Nations HABITAT,Habitat des Nations Unies,موطن الأمم المتحدة,United Nations Habitat,Hábitat de las Naciones Unidas
Kurdistan Save the Children,Kurdistan sauver les enfants,كردستان تنقذ الأطفال,Kurdistan Save the Children,Kurdistán salva a los niños
Amalna Foundation for Community Building,Fondation Amalna pour le bâtiment communautaire,مؤسسة أمالنا لبناء المجتمع,Amalna Foundation for Community Building,Fundación Amalna para el edificio comunitario.
Mercy Hands,Mercy mains,الرحمة اليدين,MERCY HANDS,Manos de misericordia
Caritas Iraq Organization,Caritas Irak Organisation,منظمة كاريتاس للعراق,Caritas Iraq Organization,Organización CARITAS IRAK
Sahara for Economic and Development Organization,Sahara pour l'organisation économique et développement,الصحراء للمنظمة الاقتصادية والتنمية,Sahara for Economic and Development Organization,Sáhara para la organización económica y de desarrollo.
Agency for Technical Cooperation and Development,Agence de coopération technique et de développement,وكالة للتعاون التقني والتنمية,Agency for Technical Cooperation and Development,Agencia de Cooperación Técnica y Desarrollo.
Samaritan Purse,Sac à main Samaritain,محفظة السامرية,Samaritan Purse,Bolso samaritano
Blumont  Organization,Organisation blumont,منظمة بلومونت,Blumont Organization,Organización BluMont
Secours Islamique Français,Secours Islamique Français,Secours إسلامي فرانسيس,French Islamic Rescue,Rescate islámico francés
Judy Organization for Relief and Development,Judy Organisation de secours et de développement,منظمة جودي للإغاثة والتنمية,JUDY ORGANIZATION FOR RELIEF AND DEVELOPMENT,Organización Judy para el Alivio y Desarrollo.
Swiss Foundation for Mine Action,Fondation suisse pour l'action des mines,المؤسسة السويسرية لإجراءات الألغام,SWISS FOUNDATION FOR MINE ACTION,Fundación suiza para la acción de la mina.
Point Organization,Organisation du point,تنظيم نقطة,Organization Point,Punto de organización
"Rehabilitation, Education and Community Health","Réhabilitation, éducation et santé communautaire",إعادة التأهيل والتعليم وصحة المجتمع,"REHABILITATION, EDUCATION AND COMMUNITY HEALTH","Rehabilitación, educación y salud comunitaria."
Lutherian World Federation,Fédération mondiale luthérienne,الاتحاد العالمي اللوديريان,LUTHERIAN WORLD FEDERATION,Federación Mundial Luterica
Sama Al Iraq for Relief and Development,Sama Al Irak pour le soulagement et le développement,سما العراق للإغاثة والتنمية,Sama Al Iraq for Relief and Development,Sama Al Irak para alivio y desarrollo
ZOA International,ZOA International,زوا الدولية,ZOA INTERNATIONAL,ZOA INTERNATIONAL
Near East Foundation,Près de la Fondation EST,مؤسسة الشرق القريبة,Near East Foundation,Cerca de la Fundación East
Triangle GH,Triangle GH,مثلث gh.,Triangle GH,Triangle GH
Directorate of Labour & Social Affairs - Sulaymaniyah,Direction du travail et des affaires sociales - Sulaymaniyah,مديرية العمل والشؤون الاجتماعية - السليمانية,Directorate of Labor & Social Affairs - Sulaymaniyah,Dirección de Trabajo y Asuntos Sociales - Sulaymaniyah
Directorate of Health - Duhok,Direction de la santé - Duhok,مديرية الصحة - دهوك,Directorate of Health - Duhok,Dirección de Salud - Duhok
cooperazione e sviluppo,cooperazione e sviluppo,Cooperazione e sviluppo.,COOPERAZIONE E SVILUPO,Cooperazione e svilupo
General Directorate of Labour & Social Affairs - Erbil,Direction générale du travail et des affaires sociales - Erbil,المديرية العامة للعمل والشؤون الاجتماعية - أربيل,General Directorate of Labor & Social Affairs - Erbil,Dirección General del Trabajo y Asuntos Sociales - Erbil
Iraqi Al-amal Association,Association Al-Amal irakienne,جمعية الامل العراقية,Iraqi Al-Amal Association,Asociación iraquí de al-Amal
Cooperazione Internazionale,Coopérazione internazionaleale,cooperazione internazionale.,Internazionale Cooperazione,Internazionale cooperazione
Action Contre La Faim,Action contre la préfare,العمل كونت لا فييم,Action against Hunger,Acción contra el hambre
German Red Cross,Croix-Rouge allemande,الصليب الأحمر الألماني,German Red Cross,Cruz Roja Alemana
Justice Center Iraq,Centre de justice Irak,مركز العدالة العراق,Justice Center Iraq,Centro de justicia Irak
Sorouh for Sustainable Development Foundation,Sorouh pour la fondation du développement durable,صروح مؤسسة التنمية المستدامة,SOROUH FOR SUSTAINABLE DEVELOPMENT FOUNDATION,Sorouh para la Fundación de Desarrollo Sostenible
The Lotus Flower,La fleur de lotus,زهرة اللوتس,The Lotus Flower,La flor de loto
Caritas Czech Republic Organization,Organisation République tchèque Caritas,جمهورية كاريتاس جمهورية التشيك,CARITAS CZECH REPUBLIC ORGANIZATION,Organización de la República Checa de Caritas
UM Al-Yateem for Development Foundation,Um al-yateem pour la fondation de développement,مؤسسة ام التسيم للتنمية,UM al-Yateem for Development Foundation,Um al-Yateem para la Fundación de Desarrollo
Foundation of United for Relief and Sustainable Development,Fondation de United pour le soulagement et le développement durable,مؤسسة المتحدة للإغاثة والتنمية المستدامة,Foundation of United For Relief and Sustainable Development,Fundación de United for Relief y desarrollo sostenible.
Human Relief Foundation,Fondation humaine,مؤسسة الإغاثة البشرية,HUMAN RELIEF FOUNDATION,Fundación de alivio humano
Al-Aghsan Foundation,Fondation Al-Aghsan,مؤسسة آغسان,AL-AGHSAN FOUNDATION,Fundación Al-Aghsan
DanChurch Aid Organization,Organisation d'aide à Danchurch,منظمة مساعدة Danchurch,DANCHURCH AID ORGANIZATION,Organización de Ayuda de Danchurch
Arbeiter Samariter Bund,Arbeiter Samariter Bund,Arbeiter Samariter Bund.,Arbeiter Samariter Bund,Arbeiter Samariter Bund
Better World Organization,Meilleure organisation mondiale,منظمة عالمية أفضل,BETTER WORLD ORGANIZATION,Mejor organización mundial
Al-Tahreer Association for Development,Association Al-Tahreer pour le développement,جمعية الطاهري للتنمية,Al-Tahree Association for Development,Asociación de Al-Tahree para el desarrollo.
Human Appeal,Attrait humain,استئناف بشري,Human appeal,Atractivo humano
Hungarian Interchurch Aid,Aide d'interlurgie hongroise,المساعدات الهنغارية Interchurch,HUNGARIAN INTERCHURCH AID,Hungría Interchurch Ayuda
Ninewa Social Protection Department,Ministère de la protection sociale Ninewa,قسم الحماية الاجتماعية نينوى,Ninewa Social Protection Department,Departamento de Protección Social de Ninewa
Preemptive Love Coalition,Coalition d'amour préventive,تحالف الحب الوقائي,Preemptive Love Coalition,Coalición de amor preventiva
Dijla Agricultural Association,Association agricole de Dijla,جمعية ديجلاء الزراعية,Dijla Agricultural Association,Asociación Agrícola de DIJLA
Médecins du Monde,Médecins du Monde,médecins du monde.,Doctors of the World,Médicos del mundo
Aid Gate Organization,Organisation des portes d'aide,بوابة المساعدات,AID GATE ORGANIZATION,Organización de la puerta de ayuda
Hilfswerk der Evangelischen Kirchen Schweiz,Hilfswerk der Evangelischen Kirchen Schweiz,Hilfswerk der Evangelischen Kirchen Schweiz,Hilfswerk der Evangelischen Kirchen Schweiz,Hilfswerk der Evangelischen Kirchen Schweiz
International Medical Corps,Corps médical international,فيلق الطبي الدولي,International Medical Body,Cuerpo médico internacional
International Organization of Migration,Organisation internationale de la migration,التنظيم الدولي للهجرة,International Organization of Migration,Organización internacional de migración.
International Rescue Committee,Comité international de secours,لجنة الإنقاذ الدولية,International Rescue Committee,Comité Internacional de Rescate
International Organization of Migration,Organisation internationale de la migration,التنظيم الدولي للهجرة,International Organization of Migration,Organización internacional de migración.
Sabea Sanabul Organization for Relief and Development,Organisation Sabea Sanabul pour le soulagement et le développement,شركة Sabea Sanabul للإغاثة والتنمية,SABEA SANABUL ORGANIZATION FOR RELIEF AND DEVELOPMENT,Organización Sabea Sanabul para alivio y desarrollo.
Sabea Sanabul Organization for Relief and Development,Organisation Sabea Sanabul pour le soulagement et le développement,شركة Sabea Sanabul للإغاثة والتنمية,SABEA SANABUL ORGANIZATION FOR RELIEF AND DEVELOPMENT,Organización Sabea Sanabul para alivio y desarrollo.
Mercy Corps,Mercy Corps,زلق لحاء الدردار,Mercy body,Cuerpo de misericordia
Danish Refugee Council,Conseil de réfugié danois,مجلس اللاجئين الدانمركي,Danish refugee council,Consejo Danés de Refugiados
Mercy Corps,Mercy Corps,زلق لحاء الدردار,Mercy body,Cuerpo de misericordia
United Nations High Commisioner for Refugees,GRAND COMMISSION DES NATIONS UNIES POUR LES REFUGES,الأمم المتحدة العليا للاجئين,United Nations High commissioner for Refugees,Alto Comisionado de las Naciones Unidas para los Refugiados
The United Iraqi Medical Society,La Société médicale irakienne unie,الجمعية الطبية العراقية المتحدة,THE UNITED IRAQI MEDICAL SOCIETY,La sociedad médica iraquí unida
DARY Organization,Organisation duarie,تنظيم دااري,Dary Organization,Organización Dary
Danish Refugee Council,Conseil de réfugié danois,مجلس اللاجئين الدانمركي,Danish refugee council,Consejo Danés de Refugiados
Mercy Corps,Mercy Corps,زلق لحاء الدردار,Mercy body,Cuerpo de misericordia
Tajdid Organization,Organisation Tajdid,تنظيم طاجيد,Tajdid Organization,Organización Tajdid
DARY Organization,Organisation duarie,تنظيم دااري,Dary Organization,Organización Dary
