full_name_raw,full_name_fr,full_name_ar,full_name_en,full_name_es
Cooperative for Assistance and Relief Everywhere,Coopérative pour l'assistance et le soulagement partout,التعاونية للحصول على المساعدة والإغاثة في كل مكان,COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE,Cooperativa para asistencia y alivio en todas partes.
Joint Development Associates International,Développement conjoint Associates International,شركاء التنمية المشتركة الدولية,Joint Development Associates International,ASOCIOS ASOCIOS INTERNACIONALES INTERNACIONALES
Al-Aghsan Foundation,Fondation Al-Aghsan,مؤسسة آغسان,AL-AGHSAN FOUNDATION,Fundación Al-Aghsan
Sorouh for Sustainable Development Foundation,Sorouh pour la fondation du développement durable,صروح مؤسسة التنمية المستدامة,SOROUH FOR SUSTAINABLE DEVELOPMENT FOUNDATION,Sorouh para la Fundación de Desarrollo Sostenible
Oxfam Internation Organization,Organisation internationale d'Oxfam,منظمة دوران أوكسفام,Oxfam International Organization,Organización Internacional de Oxfam
Justice Center Iraq,Centre de justice Irak,مركز العدالة العراق,Justice Center Iraq,Centro de justicia Irak
Al-Tawasul Wa Al-Ekha Human Organization,Al-Tawasul wa al-ekha organisation humaine,منظمة الطواسول والخلخة,Al-Tawasul Wa Al-Ekha Human Organization,Organización humana al-Tawasul WA al-Ekha
Legal Clinic Network,Réseau de la clinique juridique,شبكة العيادة القانونية,Legal Clinic Network,Red de Clínicas Legales
International Organization of Migration,Organisation internationale de la migration,التنظيم الدولي للهجرة,International Organization of Migration,Organización internacional de migración.
Norweigan Refugee Council,Conseil de réfugié Norweigan,مجلس اللاجئين نورويغان,Norweigan Refugee Council,Consejo de Refugiados de Norweigan
Islamic Relief Worldwide,Soulagement islamique dans le monde entier,الإغاثة الإسلامية في جميع أنحاء العالم,ISLAMIC RELIEF WORLDWIDE,Alivio islámico en todo el mundo
Caritas Iraq Organization,Caritas Irak Organisation,منظمة كاريتاس للعراق,Caritas Iraq Organization,Organización CARITAS IRAK
Secours Islamique Français,Secours Islamique Français,Secours إسلامي فرانسيس,French Islamic Rescue,Rescate islámico francés
HALO Trust,Halo Trust,هالة الثقة,Halo Trust,Halo confianza
Relief International,Soulagement International,الإغاثة الدولية,International relief,Alivio internacional
Norwegian People's Aid,Aide du peuple norvégien,مساعدات الشعب النرويجي,Norwegian People's Aid,Ayuda de los pueblos noruegos
Al-Meameen Humanitarian Association,Association humanitaire Al-Meameen,جمعية المعممين الإنسانية,Al-Meameen Humanitarian Association,Asociación Humanitaria al-Meameen
Al-Taqwa Association for Woman & Child Rights,Association Al-Taqwa pour les droits de la femme et de l'enfant,جمعية التقوى لحقوق المرأة وحقوق الطفل,Al-Taqwa Association for Woman & Child Rights,Asociación de Mujeres de Al-Taqwa para Mujer y Derechos del Niño
UM Al-Yateem for Development Foundation,Um al-yateem pour la fondation de développement,مؤسسة ام التسيم للتنمية,UM al-Yateem for Development Foundation,Um al-Yateem para la Fundación de Desarrollo
Social Transformation and Educational Prosperity,Transformation sociale et prospérité éducative,التحول الاجتماعي والازدهار التعليمي,Social Transformation and Educational Prosperity,Transformación social y prosperidad educativa.
Zhian Health Organization,Organisation de la santé zhienne,منظمة الصحة تشيان,Zhian Health Organization,Organización de Salud Zhian
Civil Development Organization,Organisation de développement civil,منظمة التنمية المدنية,Civil Development Organization,Organización de Desarrollo Civil
Department of Violence Against Women Govnmt,Département de la violence contre les femmes govnmt,قسم العنف ضد المرأة Govnmt,Department of Violence Against Women Govnmt,Departamento de Violencia contra Mujeres Govnmt
Joint Crisis Coordination - Sulaimaniyah,Coordination des crises conjointes - Sulaimaniyah,تنسيق الأزمات المشتركة - السليمانية,Crisis Joint Coordination - Sulaimaniyah,Coordinación conjunta de crisis - Sulaimaniyah
Emergency Organization,Organisation d'urgence,منظمة الطوارئ,EMERGENCY ORGANIZATION,Organización de emergencia
Baghdad Women Association,Association des femmes Bagdad,جمعية نساء بغداد,Baghdad Women Association,Asociación de Mujeres de Bagdad
Zhian Health Organization,Organisation de la santé zhienne,منظمة الصحة تشيان,Zhian Health Organization,Organización de Salud Zhian
Arche Nova Organization,Arche Nova Organisation,Arche Nova Organization,Arche Nova Organization,Organización Arche Nova
Directorate of Labour & Social Affairs - Duhok,Direction de la main-d'œuvre et des affaires sociales - Duhok,مديرية العمل والشؤون الاجتماعية - دهوك,Directorate of Labor & Social Affairs - Duhok,Dirección de Trabajo y Asuntos Sociales - Duhok
Lutherian World Federation,Fédération mondiale luthérienne,الاتحاد العالمي اللوديريان,LUTHERIAN WORLD FEDERATION,Federación Mundial Luterica
Board of Relief and Humanitarian Affairs,Conseil de secours et affaires humanitaires,مجلس الشؤون الإنسانية,Board of Relief and Humanitarian Affairs,Junta de alivio y asuntos humanitarios.
Global Yazidi Organization,Organisation mondiale de Yazidi,منظمة اليزيدى العالمية,Global Yazidi Organization,Organización Global Yazidi
Directorate of Labour & Social Affairs - Duhok,Direction de la main-d'œuvre et des affaires sociales - Duhok,مديرية العمل والشؤون الاجتماعية - دهوك,Directorate of Labor & Social Affairs - Duhok,Dirección de Trabajo y Asuntos Sociales - Duhok
Directorate of Labour & Social Affairs - Duhok,Direction de la main-d'œuvre et des affaires sociales - Duhok,مديرية العمل والشؤون الاجتماعية - دهوك,Directorate of Labor & Social Affairs - Duhok,Dirección de Trabajo y Asuntos Sociales - Duhok
Première Urgence Internationale,Première Urgence Internationale,Première urgence internationale.,First international emergency,Primera emergencia internacional
Medair International Humanitarian Aid Organization,Organisation internationale de l'aide humanitaire de Medair International,منظمة مساعدات المساعدات الإنسانية الدولية,MEDAIR INTERNATIONAL HUMANITARIAN AID ORGANIZATION,Organización internacional de ayuda humanitaria de MedAIR
Joint Development Associates International,Développement conjoint Associates International,شركاء التنمية المشتركة الدولية,Joint Development Associates International,ASOCIOS ASOCIOS INTERNACIONALES INTERNACIONALES
Jesuit Refugee Service,Service de réfugié jésuite,خدمة اللاجئين اليسوعية,Jesuit Refugee Service,Servicio Jesuita de Refugiados
Caritas Czech Republic Organization,Organisation République tchèque Caritas,جمهورية كاريتاس جمهورية التشيك,CARITAS CZECH REPUBLIC ORGANIZATION,Organización de la República Checa de Caritas
World Vision International,World Vision International,الرؤية العالمية الدولية,WORLD VISION INTERNATIONAL,World Vision International
War Child - UK,Guerre enfant - Royaume-Uni,حرب الطفل - المملكة المتحدة,War Child - UK,Niño de la guerra - Reino Unido
Caritas Czech Republic Organization,Organisation République tchèque Caritas,جمهورية كاريتاس جمهورية التشيك,CARITAS CZECH REPUBLIC ORGANIZATION,Organización de la República Checa de Caritas
Doctors Aid Medical Activities,Les médecins aident les activités médicales,الأطباء الأنشطة الطبية,Doctors Aid Medical Activities,Los médicos ayudan a las actividades médicas.
Jiyan Foundation,Jiyan Foundation,مؤسسة جيان,Jiyan Foundation,Fundación Jiyan
Dorcas Aid International,Dorcas Aid International,دوركاس المعونة الدولية,DORCAS AID INTERNATIONAL,Dorcas Aid International
Shingal Organization for Social Development,Organisation blingale pour le développement social,منظمة الشقال للتنمية الاجتماعية,SHINGAL ORGANIZATION FOR SOCIAL DEVELOPMENT,Organización de Shingal para el desarrollo social.
Seed Foundation,Fondation de semences,مؤسسة البذور,SEED FOUNDATION,Fundación de semillas
Shingal Organization for Social Development,Organisation blingale pour le développement social,منظمة الشقال للتنمية الاجتماعية,SHINGAL ORGANIZATION FOR SOCIAL DEVELOPMENT,Organización de Shingal para el desarrollo social.
Seed Foundation,Fondation de semences,مؤسسة البذور,SEED FOUNDATION,Fundación de semillas
Caritas Czech Republic Organization,Organisation République tchèque Caritas,جمهورية كاريتاس جمهورية التشيك,CARITAS CZECH REPUBLIC ORGANIZATION,Organización de la República Checa de Caritas
Women Rehabilitation Organization,Organisation de réadaptation des femmes,منظمة إعادة تأهيل النساء,WOMEN REHABILITATION ORGANIZATION,Organización de la rehabilitación de las mujeres
World Vision International,World Vision International,الرؤية العالمية الدولية,WORLD VISION INTERNATIONAL,World Vision International
Zhian Health Organization,Organisation de la santé zhienne,منظمة الصحة تشيان,Zhian Health Organization,Organización de Salud Zhian
General Directorate of Labour & Social Affairs - Erbil,Direction générale du travail et des affaires sociales - Erbil,المديرية العامة للعمل والشؤون الاجتماعية - أربيل,General Directorate of Labor & Social Affairs - Erbil,Dirección General del Trabajo y Asuntos Sociales - Erbil
Terre Des Hommes - Italia,Terre des Hommes - Italia,Terre des Hommes - Italia,Terre des Men - Italia,Terre des Men - Italia
Al-Masala Organization,Organisation Al-Masala,منظمة المسالا,AL-MASALA ORGANIZATION,Organización Al-Masala
General Directorate of Labour & Social Affairs - Erbil,Direction générale du travail et des affaires sociales - Erbil,المديرية العامة للعمل والشؤون الاجتماعية - أربيل,General Directorate of Labor & Social Affairs - Erbil,Dirección General del Trabajo y Asuntos Sociales - Erbil
Joint Crisis Coordination - Erbil,Coordination des crises conjointes - Erbil,تنسيق الأزمة المشتركة - أربيل,Crisis Joint Coordination - Erbil,COORDINACIÓN CONJUNTA DE CRISIS - ERBIL
Step-In Project for Iraq In Need,Projet interne pour l'Irak dans le besoin,مشروع خطوة للعراق في حاجة,STEP-IN PROJECT FOR IRAQ IN NEED,Proyecto de paso para Irak en necesidad
General Directorate of Labour & Social Affairs - Erbil,Direction générale du travail et des affaires sociales - Erbil,المديرية العامة للعمل والشؤون الاجتماعية - أربيل,General Directorate of Labor & Social Affairs - Erbil,Dirección General del Trabajo y Asuntos Sociales - Erbil
Kurdistan Save the Children,Kurdistan sauver les enfants,كردستان تنقذ الأطفال,Kurdistan Save the Children,Kurdistán salva a los niños
Barzani Charity Foundation,Barzani Foundation Charity,مؤسسة بارزاني الخيرية,Barzani Charity Foundation,Fundación Barzani Charity
Swiss Foundation for Mine Action,Fondation suisse pour l'action des mines,المؤسسة السويسرية لإجراءات الألغام,SWISS FOUNDATION FOR MINE ACTION,Fundación suiza para la acción de la mina.
Ninewa Social Protection Department,Ministère de la protection sociale Ninewa,قسم الحماية الاجتماعية نينوى,Ninewa Social Protection Department,Departamento de Protección Social de Ninewa
Swiss Foundation for Mine Action,Fondation suisse pour l'action des mines,المؤسسة السويسرية لإجراءات الألغام,SWISS FOUNDATION FOR MINE ACTION,Fundación suiza para la acción de la mina.
Tearfund Organization,Organisation Tearfund,منظمة المسمعة,Tearfund Organization,Organización de Tearfund
Tearfund Organization,Organisation Tearfund,منظمة المسمعة,Tearfund Organization,Organización de Tearfund
Handicap International,Handicap International,عائق الدولية,Disability,Invalidez
Iraq Health Access Organization,Oraq Health Access Organization,منظمة الوصول الصحية في العراق,Iraq Health Access Organization,Organización de acceso a la salud de Irak
Human Relief Foundation,Fondation humaine,مؤسسة الإغاثة البشرية,HUMAN RELIEF FOUNDATION,Fundación de alivio humano
United Nations Entity for Gender Equality and the Empowerment of Women,Entité des Nations Unies pour l'égalité des sexes et l'autonomisation des femmes,كيان الأمم المتحدة للمساواة بين الجنسين وتمكين المرأة,United Nations Entity for Gender Equality and The Empowerment of Women,Entidad de las Naciones Unidas para la igualdad de género y el empoderamiento de las mujeres.
Human Relief Foundation,Fondation humaine,مؤسسة الإغاثة البشرية,HUMAN RELIEF FOUNDATION,Fundación de alivio humano
Green Desert for Mental Health and Education,Désert verdoyant pour la santé mentale et l'éducation,الصحراء الخضراء للصحة العقلية والتعليم,Green Desert for Mental Health and Education,Desierto verde para la salud mental y la educación.
Foundation of United for Relief and Sustainable Development,Fondation de United pour le soulagement et le développement durable,مؤسسة المتحدة للإغاثة والتنمية المستدامة,Foundation of United For Relief and Sustainable Development,Fundación de United for Relief y desarrollo sostenible.
Samaritan Purse,Sac à main Samaritain,محفظة السامرية,Samaritan Purse,Bolso samaritano
Sama Al Iraq for Relief and Development,Sama Al Irak pour le soulagement et le développement,سما العراق للإغاثة والتنمية,Sama Al Iraq for Relief and Development,Sama Al Irak para alivio y desarrollo
Public Aid Organization,Organisation d'aide publique,منظمة المساعدات العامة,Public Aid Organization,Organización de ayuda pública
Al-Masala Organization,Organisation Al-Masala,منظمة المسالا,AL-MASALA ORGANIZATION,Organización Al-Masala
Triangle GH,Triangle GH,مثلث gh.,Triangle GH,Triangle GH
Vena Zaroka Organization ,Organisation Vena Zaroka,منظمة فينا زاروكا,VENA ZAROKA ORGANIZATION,Organización Vena Zaroka
Swiss Foundation for Mine Action,Fondation suisse pour l'action des mines,المؤسسة السويسرية لإجراءات الألغام,SWISS FOUNDATION FOR MINE ACTION,Fundación suiza para la acción de la mina.
Ninewa Social Protection Department,Ministère de la protection sociale Ninewa,قسم الحماية الاجتماعية نينوى,Ninewa Social Protection Department,Departamento de Protección Social de Ninewa
Ninewa Social Protection Department,Ministère de la protection sociale Ninewa,قسم الحماية الاجتماعية نينوى,Ninewa Social Protection Department,Departamento de Protección Social de Ninewa
DAD for Human Rights & Civil Society Affairs,Papa aux droits de l'homme et aux affaires de la société civile,أبي لحقوق الإنسان وشؤون المجتمع المدني,Dad for Human Rights & Civil Society Affairs,Papá para los derechos humanos y de la sociedad civil.
DAD for Human Rights & Civil Society Affairs,Papa aux droits de l'homme et aux affaires de la société civile,أبي لحقوق الإنسان وشؤون المجتمع المدني,Dad for Human Rights & Civil Society Affairs,Papá para los derechos humanos y de la sociedad civil.
Mercy Hands,Mercy mains,الرحمة اليدين,MERCY HANDS,Manos de misericordia
DAD for Human Rights & Civil Society Affairs,Papa aux droits de l'homme et aux affaires de la société civile,أبي لحقوق الإنسان وشؤون المجتمع المدني,Dad for Human Rights & Civil Society Affairs,Papá para los derechos humanos y de la sociedad civil.
Al-Ghad for Women & Child Care,Al-Ghad pour les femmes et les garderies,الغد للرعاية النسائية والأطفال,AL-GHAD FOR WOMEN & CHILD CARE,Al-Ghad para mujeres y cuidado infantil
People In Need,Personnes dans le besoin,الناس في حاجة,People in Need,Las personas necesitadas
IRAQ Health Social Care Organization,Oraq Health Soins sociaux Organisation,منظمة الرعاية الاجتماعية للصحة العراقية,Iraq Health Social Care Organization,Organización de Atención Social de Salud de Irak
Oxfam Internation Organization,Organisation internationale d'Oxfam,منظمة دوران أوكسفام,Oxfam International Organization,Organización Internacional de Oxfam
Doctors Aid Medical Activities,Les médecins aident les activités médicales,الأطباء الأنشطة الطبية,Doctors Aid Medical Activities,Los médicos ayudan a las actividades médicas.
Representative of Nineveh Voluntary for IDPs,Représentant de neufveh volontaire pour les personnes déplacées,ممثل نينوى الطوعية للنازحين,Representative of Nineveh Voluntary for Idps,Representante de Nínive Voluntario para IDP.
Zakho Small Villages Projects,Zakho petits villages projets,مشاريع قرى زاخو الصغيرة,Zakho Small Villages Projects,Proyectos de pequeños pueblos de Zakho
Zakho Small Villages Projects,Zakho petits villages projets,مشاريع قرى زاخو الصغيرة,Zakho Small Villages Projects,Proyectos de pequeños pueblos de Zakho
Pekawa Organization,Organisation de Pekawa,منظمة بيكنا,PEKAWA ORGANIZATION,Organización Pekawa
Tutapona Organization,Organisation tutapona,تنظيم Tutapona,Tutapona Organization,Organización de Tutapona
Sahara for Economic and Development Organization,Sahara pour l'organisation économique et développement,الصحراء للمنظمة الاقتصادية والتنمية,Sahara for Economic and Development Organization,Sáhara para la organización económica y de desarrollo.
Medair International Humanitarian Aid Organization,Organisation internationale de l'aide humanitaire de Medair International,منظمة مساعدات المساعدات الإنسانية الدولية,MEDAIR INTERNATIONAL HUMANITARIAN AID ORGANIZATION,Organización internacional de ayuda humanitaria de MedAIR
Welt Hunger Hilfe,Welt Hunger Hilfe,فيلت جوع هيلف,Welt Hunger Hilfe,Welt Hunger Hilfe
Mercy Hands,Mercy mains,الرحمة اليدين,MERCY HANDS,Manos de misericordia
Public Aid Organization,Organisation d'aide publique,منظمة المساعدات العامة,Public Aid Organization,Organización de ayuda pública
Agency for Technical Cooperation and Development,Agence de coopération technique et de développement,وكالة للتعاون التقني والتنمية,Agency for Technical Cooperation and Development,Agencia de Cooperación Técnica y Desarrollo.
Catholic Relief Service,Service de secours catholique,خدمة الإغاثة الكاثوليكية,Catholic relief service,Servicio de alivio católico
Intersos Organization,Organisation interne,منظمة Intersos,INTERSOS ORGANIZATION,Organización de Intersos
Cooperative for Assistance and Relief Everywhere,Coopérative pour l'assistance et le soulagement partout,التعاونية للحصول على المساعدة والإغاثة في كل مكان,COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE,Cooperativa para asistencia y alivio en todas partes.
Cooperative for Assistance and Relief Everywhere,Coopérative pour l'assistance et le soulagement partout,التعاونية للحصول على المساعدة والإغاثة في كل مكان,COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE,Cooperativa para asistencia y alivio en todas partes.
Norwegian Church Aid,Aide norvégienne de l'église,المساعدات الكنيسة النرويجية,Norwegian Church Aid,Ayuda de la iglesia noruega
Al-Ghad for Women & Child Care,Al-Ghad pour les femmes et les garderies,الغد للرعاية النسائية والأطفال,AL-GHAD FOR WOMEN & CHILD CARE,Al-Ghad para mujeres y cuidado infantil
Women Rehabilitation Organization,Organisation de réadaptation des femmes,منظمة إعادة تأهيل النساء,WOMEN REHABILITATION ORGANIZATION,Organización de la rehabilitación de las mujeres
Tearfund Organization,Organisation Tearfund,منظمة المسمعة,Tearfund Organization,Organización de Tearfund
Terre Des Hommes - Lausanne,Terre des Hommes - Lausanne,Terre des Hommes - Lausanne,Terre des Men - Lausanne,Terre des Men - Lausanne
Relief International,Soulagement International,الإغاثة الدولية,International relief,Alivio internacional
United Nations HABITAT,Habitat des Nations Unies,موطن الأمم المتحدة,United Nations Habitat,Hábitat de las Naciones Unidas
United Nations HABITAT,Habitat des Nations Unies,موطن الأمم المتحدة,United Nations Habitat,Hábitat de las Naciones Unidas
World Food Programme,Programme alimentaire mondial,برنامج الأغذية العالمي,World Food Program,Programa Mundial de Alimentos
World Food Programme,Programme alimentaire mondial,برنامج الأغذية العالمي,World Food Program,Programa Mundial de Alimentos
International Rescue Committee,Comité international de secours,لجنة الإنقاذ الدولية,International Rescue Committee,Comité Internacional de Rescate
Preemptive Love Coalition,Coalition d'amour préventive,تحالف الحب الوقائي,Preemptive Love Coalition,Coalición de amor preventiva
Department of Violence Against Women Govnmt,Département de la violence contre les femmes govnmt,قسم العنف ضد المرأة Govnmt,Department of Violence Against Women Govnmt,Departamento de Violencia contra Mujeres Govnmt
Directorate of Outskirts Waters - Garmyan,Direction des eaux de périphérie - Garmyan,مديرية مشارف المياه - Garmyan,Directorate of Outskirts Waters - Garmyan,Dirección de Aguas Outskirts - Garmyan
Arche Nova Organization,Arche Nova Organisation,Arche Nova Organization,Arche Nova Organization,Organización Arche Nova
Harikar Organization,Organisation Harikar,منظمة هاريكار,Harikar Organization,Organización de Harikar
Global Yazidi Organization,Organisation mondiale de Yazidi,منظمة اليزيدى العالمية,Global Yazidi Organization,Organización Global Yazidi
Emma Organization,Organisation EMMA,منظمة إيما,Emma Organization,Organización EMMA
Action Contre La Faim,Action contre la préfare,العمل كونت لا فييم,Action against Hunger,Acción contra el hambre
Directorate of Outskirts Waters - Duhok,Direction des eaux de périphérie - Duhok,مديرية مشارف المياه - دهوك,Directorate of Outskirts Waters - Duhok,Dirección de Aguas Outskirts - Duhok
Directorate of Health - Duhok,Direction de la santé - Duhok,مديرية الصحة - دهوك,Directorate of Health - Duhok,Dirección de Salud - Duhok
Elisecare,Élisse,elisecare.,ELISECARE,Elisecare
Directorate of Outskirts Waters - Duhok,Direction des eaux de périphérie - Duhok,مديرية مشارف المياه - دهوك,Directorate of Outskirts Waters - Duhok,Dirección de Aguas Outskirts - Duhok
Jesuit Refugee Service,Service de réfugié jésuite,خدمة اللاجئين اليسوعية,Jesuit Refugee Service,Servicio Jesuita de Refugiados
Heevie Kurdistan Development Organization,Heevie Kurdistan Organisation de développement,هيسي كردستان للتنمية,Heevie Kurdistan Development Organization,Organización de Desarrollo de Heevie Kurdistan
Directorate of Health - Duhok,Direction de la santé - Duhok,مديرية الصحة - دهوك,Directorate of Health - Duhok,Dirección de Salud - Duhok
Directorate of Outskirts Waters - Duhok,Direction des eaux de périphérie - Duhok,مديرية مشارف المياه - دهوك,Directorate of Outskirts Waters - Duhok,Dirección de Aguas Outskirts - Duhok
Directorate of Health - Duhok,Direction de la santé - Duhok,مديرية الصحة - دهوك,Directorate of Health - Duhok,Dirección de Salud - Duhok
